timestamps,TP9,AF7,AF8,TP10,Right AUX
1757889880.971,-159.668,-49.805,-351.562,-47.363,0.000
1757889880.975,-89.844,-37.598,-421.387,-29.785,0.000
1757889880.979,60.059,-13.184,-10.742,10.254,0.000
1757889880.983,2.930,-20.508,172.852,-27.344,0.000
1757889880.987,-102.051,-43.457,-255.859,-53.711,0.000
1757889880.991,-120.117,-47.363,-420.898,-45.410,0.000
1757889880.995,1.465,-33.203,-131.836,-23.926,0.000
1757889880.998,104.492,-15.625,169.922,-2.930,0.000
1757889881.002,-100.586,-40.039,-80.078,-49.316,0.000
1757889881.006,-145.996,-49.805,-456.543,-53.711,0.000
1757889881.010,4.395,-21.973,-243.652,-2.930,0.000
1757889881.014,78.613,-3.906,228.027,-14.648,0.000
1757889881.018,-3.418,-28.809,40.527,-41.016,0.000
1757889881.022,-187.988,-45.410,-406.250,-68.848,0.000
1757889881.026,-76.172,-35.645,-360.352,-28.320,0.000
1757889881.030,115.723,-10.742,73.242,12.207,0.000
1757889881.034,10.254,-13.184,189.453,-37.109,0.000
1757889881.038,-149.414,-51.270,-279.297,-56.152,0.000
1757889881.041,-128.418,-48.340,-503.418,-60.059,0.000
1757889881.045,68.359,-7.812,-30.273,-34.180,0.000
1757889881.049,115.723,-9.277,262.207,-11.719,0.000
1757889881.053,-155.273,-37.109,-197.754,-71.289,0.000
1757889881.057,-157.715,-36.621,-442.871,-69.824,0.000
1757889881.061,48.340,-12.695,-17.090,-4.883,0.000
1757889881.065,68.848,-11.230,302.246,-10.742,0.000
1757889881.069,-37.598,-47.363,-56.641,-28.809,0.000
1757889881.073,-199.219,-59.082,-445.801,-55.664,0.000
1757889881.077,-64.453,-34.180,-271.973,-28.320,0.000
1757889881.081,148.926,-16.113,221.191,33.203,0.000
1757889881.084,-41.992,-42.969,-40.039,-15.137,0.000
1757889881.088,-164.551,-50.293,-539.062,-63.965,0.000
1757889881.092,-66.406,-26.367,-312.500,-48.340,0.000
1757889881.096,89.844,-12.207,167.480,-19.043,0.000
1757889881.100,102.051,-25.391,202.148,-11.230,0.000
1757889881.104,-146.973,-37.109,-243.652,-44.434,0.000
1757889881.108,-145.996,-25.391,-335.938,-42.969,0.000
1757889881.112,91.797,-7.812,64.941,-12.207,0.000
1757889881.116,115.723,-11.230,248.047,-29.297,0.000
1757889881.120,-60.059,-39.551,-127.930,-49.805,0.000
1757889881.123,-209.961,-37.109,-443.848,-81.055,0.000
1757889881.127,-31.738,-21.973,-199.219,-40.527,0.000
1757889881.131,166.504,-16.113,160.645,26.367,0.000
1757889881.135,-35.156,-30.762,-117.188,-26.367,0.000
1757889881.139,-174.316,-42.969,-477.051,-62.012,0.000
1757889881.143,-78.125,-28.320,-270.020,-42.480,0.000
1757889881.147,96.191,-12.207,178.711,-13.184,0.000
